repo_root_dir,claude_sessions_history_or_transcript,claude_history_range,claude_transcripts_retained,claude_executor_subagent_transcripts,codex_tui_top_level,codex_tui_subagent_threads,codex_tui_range,codex_exec_noninteractive,opencode_top,opencode_child
aiur,19,2026-07-19..2026-09-26,8,537,10,246,2026-07-17..2026-09-16,36,8,75
architecture-docs,1,2026-09-03..2026-09-04,1,86,3,37,2026-09-03..2026-09-03,0,1,0
archon,4,2026-09-14..2026-09-25,4,146,2,0,2026-09-09..2026-09-16,0,0,0
claude-app-server,0,,0,0,0,0,,0,0,0
croptracker (private),1,2026-07-28..2026-07-28,0,0,0,0,,0,0,0
dotfiles,1,2026-07-25..2026-07-25,0,0,1,7,2026-07-24..2026-07-24,0,0,0
flowerpot,3,2026-07-28..2026-09-01,1,1,3,54,2026-08-20..2026-08-21,0,2,0
hard-cache,1,2026-09-12..2026-09-14,1,2,0,0,,0,0,0
health,1,2026-08-20..2026-09-02,1,3,0,0,,0,0,0
kevinweaver-dev,4,2026-07-31..2026-08-11,0,0,3,90,2026-08-02..2026-08-17,0,3,5
khala,1,2026-09-18..2026-09-26,1,259,1,7,2026-09-16..2026-09-16,1,0,0
norentgrets,1,2026-09-04..2026-09-04,1,0,0,0,,0,0,0
private-multisig (private),1,2026-09-14..2026-09-14,1,110,0,0,,0,0,0
