run_dir,start_utc,end_utc,span_h,telemetry_window_h,repo,repo_source,tickets,size_mb,files
20260915T011345Z-37162,2026-09-15 01:13,2026-09-15 01:15,0.02,0.02,private-multisig (private),<owner>_<repo>-*.alerts.ndjson,0,0.0,6
20260915T011511Z-41414,2026-09-15 01:15,2026-09-15 02:18,1.06,1.06,private-multisig (private),github-<b64>.<n> filenames,1,3.1,13
20260915T021847Z-118154,2026-09-15 02:18,2026-09-15 18:21,16.04,3.96,private-multisig (private),github-<b64>.<n> filenames,24,88.4,109
20260915T060839Z-696429,2026-09-15 06:08,2026-09-15 06:08,0.0,0.0,private-multisig (private),<owner>_<repo>-*.alerts.ndjson,0,0.0,4
20260916T151533Z-2636400,2026-09-16 15:15,,0,,(none: empty/aborted boot),-,0,0.0,0
20260916T151609Z-2637045,2026-09-16 15:16,2026-09-16 15:16,0.0,,(none: empty/aborted boot),-,0,0.0,1
20260916T151630Z-2637419,2026-09-16 15:16,2026-09-22 15:42,144.43,6.63,private-multisig (private),<owner>_<repo>-*.alerts.ndjson,0,10.0,6
20260916T153434Z-2651128,2026-09-16 15:34,2026-09-16 17:41,2.12,2.12,aiur,github-<b64>.<n> filenames,6,10.2,32
20260916T175148Z-3063564,2026-09-16 17:51,2026-09-16 19:05,1.23,1.23,aiur,github-<b64>.<n> filenames,8,54.7,42
20260916T190631Z-3754910,2026-09-16 19:06,2026-09-16 21:24,2.3,2.3,aiur,github-<b64>.<n> filenames,12,20.3,65
20260916T191350Z-3777005,2026-09-16 19:13,2026-09-17 12:48,17.57,4.39,khala,github-<b64>.<n> filenames,6,27.9,38
20260916T212437Z-877222,2026-09-16 21:24,2026-09-17 02:28,5.06,5.06,aiur,github-<b64>.<n> filenames,4,13.4,33
20260917T022859Z-1671510,2026-09-17 02:28,2026-09-22 15:42,133.22,16.33,aiur,github-<b64>.<n> filenames,12,98.1,61
20260917T124842Z-2737066,2026-09-17 12:48,2026-09-17 15:15,2.44,2.44,khala,<repo>.<n>.subscriptions.json,1,3.8,7
20260917T141402Z-2863758,2026-09-17 14:14,,0,,(none: empty/aborted boot),-,0,0.0,0
20260917T151520Z-2929890,2026-09-17 15:15,2026-09-17 15:27,0.2,0.2,khala,<owner>_<repo>-*.alerts.ndjson,0,0.4,6
20260917T152343Z-2954004,2026-09-17 15:23,,0,,(none: empty/aborted boot),-,0,0.0,0
20260917T152459Z-2956456,2026-09-17 15:24,,0,,(none: empty/aborted boot),-,0,0.0,0
20260917T152621Z-2960413,2026-09-17 15:26,2026-09-17 15:27,0.02,0.02,khala,<owner>_<repo>-*.alerts.ndjson,0,0.3,6
20260917T152728Z-2974897,2026-09-17 15:27,2026-09-17 15:57,0.49,0.49,khala,github-<b64>.<n> filenames,1,1.2,12
20260917T155706Z-3046200,2026-09-17 15:57,2026-09-17 16:00,0.06,0.06,khala,github-<b64>.<n> filenames,1,0.1,11
20260917T160044Z-3066478,2026-09-17 16:00,2026-09-17 22:26,6.43,6.43,khala,github-<b64>.<n> filenames,1,14.8,14
20260917T222625Z-3755197,2026-09-17 22:26,2026-09-18 01:01,2.59,2.59,khala,<owner>_<repo>-*.alerts.ndjson,0,3.9,6
20260918T010137Z-4099103,2026-09-18 01:01,2026-09-18 01:16,0.24,0.24,khala,github-<b64>.<n> filenames,3,0.6,19
20260918T011606Z-4144135,2026-09-18 01:16,2026-09-18 02:50,1.57,1.57,khala,github-<b64>.<n> filenames,8,9.1,41
20260918T025027Z-923016,2026-09-18 02:50,2026-09-18 04:30,1.67,1.67,khala,github-<b64>.<n> filenames,15,17.5,69
20260918T043033Z-2015550,2026-09-18 04:30,2026-09-18 10:48,6.3,6.3,khala,github-<b64>.<n> filenames,20,25.2,88
20260918T104829Z-161240,2026-09-18 10:48,2026-09-20 00:56,38.13,2.06,khala,github-<b64>.<n> filenames,31,77.9,98
20260920T005620Z-222894,2026-09-20 00:56,2026-09-20 01:08,0.2,0.19,(none: empty/aborted boot),-,0,0.4,4
20260920T010817Z-304273,2026-09-20 01:08,2026-09-22 15:42,62.56,14.73,khala,github-<b64>.<n> filenames,2,76.3,11
20260924T184803Z-23735,2026-09-24 18:48,2026-09-24 23:07,4.32,4.32,khala,github-<b64>.<n> filenames,17,123.8,55
20260924T230720Z-2518661,2026-09-24 23:07,2026-09-24 23:11,0.07,0.07,khala,github-<b64>.<n> filenames,9,0.5,31
20260924T231144Z-2563251,2026-09-24 23:11,2026-09-25 04:25,5.22,5.22,khala,github-<b64>.<n> filenames,24,68.5,76
20260925T011458Z-3157204,2026-09-25 01:14,2026-09-25 01:15,0.0,0.0,(none: empty/aborted boot),-,0,0.0,1
20260925T042508Z-193656,2026-09-25 04:25,2026-09-26 05:20,24.92,0.86,khala,github-<b64>.<n> filenames,74,95.3,227
20260925T235128Z-1991114,2026-09-25 23:51,2026-09-25 23:51,0.0,0.0,(none: empty/aborted boot),-,0,0.0,1
20260925T235921Z-2122054,2026-09-25 23:59,2026-09-25 23:59,0.0,0.0,(none: empty/aborted boot),-,0,0.0,1
20260926T052025Z-954217,2026-09-26 05:20,2026-09-26 05:56,0.6,0.6,khala,github-<b64>.<n> filenames,17,5.9,55
20260926T055641Z-1318024,2026-09-26 05:56,2026-09-26 15:17,9.35,2.19,khala,github-<b64>.<n> filenames,51,54.1,157
