topic_class,aiur-team/aiur,aiur-team/khala,aiur-team/architecture-docs,aiur-team/archon,private-multisig (private),total
ticket.branch.push,833,687,122,97,50,1789
system.fleet.capacity.starved,106,31,1067,523,0,1727
ticket.pr.merged,341,192,56,37,22,648
ticket.ci.passed,171,325,66,35,19,616
system.dispatch.capacity_starved,218,6,315,28,0,567
system.dispatch.prewarm_blocked,515,0,0,0,0,515
system.dispatch.prewarm_blocked.resolved,500,0,0,0,0,500
ticket.pr.opened,180,191,52,26,0,449
system.fleet.capacity.resumed,303,20,43,29,4,399
ticket.ci.failed,202,32,7,2,3,246
system.fleet.capacity.backoff,171,14,46,10,1,242
ticket.pr.ready_for_review,4,177,0,0,0,181
system.dispatch.capacity_starved.resolved,153,0,0,0,0,153
ticket.agent.attention.operator-decision,35,81,21,6,0,143
system.github.connectivity_lost,115,1,10,0,1,127
ticket.agent.attention.waiting_for_human,72,19,8,4,2,105
ticket.agent.attention.paused-agent_pause_request,67,21,8,0,2,98
system.fleet.capacity.starved.resolved,80,0,0,0,0,80
ticket.agent.attention.github-permissions,0,71,0,0,0,71
ticket.agent.attention.workflow-permissions,0,69,0,0,0,69
ticket.agent.attention.github-write-access,0,69,0,0,0,69
ticket.agent.attention.paused-before_run_failure,65,0,0,0,0,65
ticket.agent.retry_exhausted,38,16,6,1,3,64
ticket.agent.attention.github-broker-unavailable,61,0,0,0,0,61
ticket.agent.attention.error-retry_exhausted,22,12,7,1,3,45
ticket.agent.attention.codex-usage-limit,0,41,0,0,0,41
ticket.agent.attention.github-broker,36,0,0,0,0,36
ticket.agent.attention.state_divergence,30,0,0,4,0,34
ticket.agent.attention.state-label-missing-no-evidence,0,33,0,0,0,33
ticket.agent.attention.paused-usage_limit_exhausted,6,26,0,0,0,32
ticket.agent.attention.github-budget-broker,28,0,0,0,0,28
ticket.agent.attention.credentials,26,0,0,0,0,26
ticket.agent.attention.paused-max_agent_duration,25,0,0,0,0,25
ticket.agent.attention.auth-identity,25,0,0,0,0,25
ticket.agent.attention.push-identity,25,0,0,0,0,25
ticket.agent.attention.npm-publish-required,25,0,0,0,0,25
ticket.agent.attention.live-proof-credentials,0,23,0,0,0,23
ticket.agent.attention.paused-blocker_dependency,10,1,6,0,4,21
ticket.agent.attention.github-budget-unwritable,19,0,0,0,0,19
