repo,run,era,start_utc,end_utc,minutes,attribution,min_a,min_b,min_c,min_d,min_e,min_f,attended_frac,top_reason,evidence
aiur,wakeboot-2026-08-18T22:32Z,pre-log,2026-08-18T23:48Z,2026-08-19T03:03Z,194.6,d,0,0,0,195,0,0,0.0,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.fleet.capacity.starved @2026-08-18T22:36Z, no resolution before boot end 2026-08-19T03:06Z (2026-08-18T22:36Z->2026-08-19T03:06Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-18T23:50Z->2026-08-19T00:00Z) | labels at start: ci-wait=3, error=3, human-review=7, in-progress=2, rework=2, todo=1 | human-review tickets (age h): #2181(0) #2137(0) #2081(1) #2069(1) #2167(1) | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:unlabeled:agent:in-progress by its-applekid #2181 @2026-08-18T23:48Z | next progress: review:APPROVED by its-everdred #pr2178 @2026-08-19T03:03Z"
aiur,wakeboot-2026-08-19T03:09Z,pre-log,2026-08-19T03:09Z,2026-08-19T05:40Z,150.6,d,17,0,0,134,0,0,0.0,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T03:10Z->2026-08-19T03:11Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T03:12Z->2026-08-19T03:12Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=1 | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:head_ref_force_pushed by its-everdred #2184 @2026-08-19T03:08Z | next progress: gh:labeled:bug by its-everdred #2185 @2026-08-19T05:42Z"
aiur,wakeboot-2026-08-19T05:43Z,pre-log,2026-08-19T05:43Z,2026-08-19T06:12Z,29.2,d,1,0,0,28,0,0,0.0,no capacity: prewarm blocked,"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T05:43Z->2026-08-19T06:04Z) | wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-19T05:54Z->2026-08-19T06:12Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=2 | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:labeled:agent:todo by its-everdred #2185 @2026-08-19T05:42Z | next progress: gh:labeled:agent:in-progress by its-applekid #2185 @2026-08-19T06:12Z"
aiur,wakeboot-2026-08-19T05:43Z,pre-log,2026-08-19T06:33Z,2026-08-19T13:11Z,397.3,d,0,0,0,398,0,0,0.0,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.fleet.capacity.starved @2026-08-19T05:54Z, no resolution before boot end 2026-08-19T13:11Z (2026-08-19T05:54Z->2026-08-19T13:11Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T06:33Z->2026-08-19T06:35Z) | labels at start: ci-wait=3, error=3, human-review=1, in-progress=2, rework=2, todo=1 | human-review tickets (age h): #2185(0) | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:unlabeled:agent:in-progress by its-applekid #2185 @2026-08-19T06:33Z | next progress: pr:opened by its-everdred #pr2188 @2026-08-19T16:40Z"
aiur,wakeboot-2026-08-19T13:21Z,pre-log,2026-08-19T13:21Z,2026-08-19T16:40Z,198.8,d,1,0,0,198,0,0,0.0,no capacity: dispatch capacity starved,"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T13:21Z->2026-08-19T13:42Z) | wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-19T13:31Z->2026-08-19T18:25Z) | labels at start: ci-wait=3, error=3, human-review=1, in-progress=2, rework=2, todo=1 | human-review tickets (age h): #2185(7) | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:unlabeled:agent:in-progress by its-applekid #2185 @2026-08-19T06:33Z | next progress: pr:opened by its-everdred #pr2188 @2026-08-19T16:40Z"
aiur,wakeboot-2026-08-19T13:21Z,pre-log,2026-08-19T16:49Z,2026-08-19T23:51Z,422.2,d,0,0,0,422,0,0,0.0,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-19T13:31Z->2026-08-19T18:25Z) | wake system.fleet.capacity.starved @2026-08-19T13:31Z, no resolution before boot end 2026-08-20T02:51Z (2026-08-19T13:31Z->2026-08-20T02:51Z) | labels at start: ci-wait=3, error=3, human-review=1, in-progress=2, rework=2, todo=1 | human-review tickets (age h): #2185(10) | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:review_requested by its-everdred #2190 @2026-08-19T16:49Z | next progress: pr:opened by its-everdred #pr2192 @2026-08-19T23:51Z"
aiur,wakeboot-2026-08-19T13:21Z,pre-log,2026-08-20T00:02Z,2026-08-20T02:41Z,158.5,d,0,0,0,159,0,0,0.0,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.fleet.capacity.starved @2026-08-19T13:31Z, no resolution before boot end 2026-08-20T02:51Z (2026-08-19T13:31Z->2026-08-20T02:51Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-19T23:59Z->2026-08-20T00:09Z) | labels at start: ci-wait=3, error=3, human-review=1, in-progress=2, rework=2, todo=1 | human-review tickets (age h): #2185(17) | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:closed by its-everdred #2191 @2026-08-20T00:02Z | next progress: gh:unlabeled:agent:human-review by aiur-daemon[bot] #2185 @2026-08-20T02:41Z"
aiur,wakeboot-2026-08-20T02:53Z,pre-log,2026-08-20T02:53Z,2026-08-20T03:33Z,40.5,d,1,0,0,39,0,0,0.0,no capacity: prewarm blocked,"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-20T02:53Z->2026-08-20T03:33Z) | wake system.dispatch.capacity_starved @2026-08-20T03:13Z, no resolution before boot end 2026-08-20T03:33Z (2026-08-20T03:13Z->2026-08-20T03:33Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=1 | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:unlabeled:agent:done by aiur-daemon[bot] #2185 @2026-08-20T02:52Z | next progress: pr:opened by its-everdred #pr2193 @2026-08-20T03:44Z"
aiur,wakeboot-2026-08-20T03:43Z,pre-log,2026-08-20T03:55Z,2026-08-20T04:15Z,20.3,d,0,0,0,20,0,0,0.0,no capacity: dispatch capacity starved (never resolved in that daemon boot),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-20T03:43Z->2026-08-20T03:55Z) | wake system.dispatch.capacity_starved @2026-08-20T03:53Z, no resolution before boot end 2026-08-20T04:15Z (2026-08-20T03:53Z->2026-08-20T04:15Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=1 | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:closed by its-everdred #2194 @2026-08-20T03:55Z | next progress: pr:opened by its-everdred #pr2196 @2026-08-20T04:38Z"
aiur,wakeboot-2026-08-20T04:35Z,pre-log,2026-08-20T04:49Z,2026-08-20T05:29Z,40.4,d,0,0,0,40,0,0,0.0,no capacity: dispatch capacity starved (never resolved in that daemon boot),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-20T04:35Z->2026-08-20T04:49Z) | wake system.dispatch.capacity_starved @2026-08-20T04:45Z, no resolution before boot end 2026-08-20T05:29Z (2026-08-20T04:45Z->2026-08-20T05:29Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=1 | executor-active-min=0 agent-active-min=0 human-msgs-min=0 | last progress: gh:closed by its-everdred #2195 @2026-08-20T04:49Z | next progress: pr:opened by its-everdred #pr2198 @2026-08-20T05:43Z"
aiur,wakeboot-2026-08-20T05:57Z,pre-log,2026-08-20T05:57Z,2026-08-21T02:38Z,1240.8,d,2,0,0,1239,0,0,0.104,no capacity: fleet capacity starved (load governor) (never resolved in that daemon boot),"wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-20T05:58Z->2026-08-20T06:38Z) | wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-20T06:18Z->2026-08-20T11:31Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=2, todo=1 | executor-active-min=2 agent-active-min=0 human-msgs-min=0 | last progress: pr:merged by its-everdred #pr2199 @2026-08-20T05:57Z | next progress: gh:labeled:agent:todo by its-everdred #2200 @2026-08-21T02:38Z"
aiur,wakeboot-2026-08-20T05:57Z,pre-log,2026-08-21T02:43Z,2026-08-21T03:02Z,19.2,f,0,0,0,0,0,19,0.99,agents working (no output yet),"wake system.fleet.capacity.starved @2026-08-20T06:18Z, no resolution before boot end 2026-08-21T03:06Z (2026-08-20T06:18Z->2026-08-21T03:06Z) | wake system.dispatch.prewarm_blocked -> system.dispatch.prewarm_blocked.resolved (2026-08-21T02:43Z->2026-08-21T02:43Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=2 | executor-active-min=1 agent-active-min=19 human-msgs-min=0 | last progress: gh:labeled:agent:rework by its-everdred #2076 @2026-08-21T02:43Z | next progress: wake:ticket.branch.push by agent/wake #2138 @2026-08-21T03:02Z"
aiur,wakeboot-2026-08-21T03:13Z,pre-log,2026-08-21T03:24Z,2026-08-21T04:00Z,36.5,d,0,0,0,27,0,9,0.986,no capacity: dispatch capacity starved,"wake system.dispatch.capacity_starved -> system.dispatch.capacity_starved.resolved (2026-08-21T03:15Z->2026-08-21T03:51Z) | wake system.fleet.capacity.backoff -> system.fleet.capacity.resumed (2026-08-21T03:24Z->2026-08-21T03:51Z) | labels at start: ci-wait=3, error=3, in-progress=2, rework=5, todo=3 | executor-active-min=6 agent-active-min=9 human-msgs-min=2 | last progress: comment by its-everdred #2201 @2026-08-21T03:24Z | next progress: exec:control by executor # @2026-08-21T04:00Z"
